name,type,parameters,description
APIError,function,"['message', 'status_code']",Raised when API request fails
AkshareException,function,['message'],Base exception for akshare library
DataParsingError,function,['message'],Raised when data parsing fails
InvalidParameterError,function,['message'],Raised when an invalid parameter is provided
NetworkError,function,['message'],Raised when network-related issues occur
RateLimitError,function,['message'],Raised when API rate limit is exceeded
air_city_table,function,[],"真气网-空气质量历史数据查询-全部城市列表
https://www.zq12369.com/environment.php?date=2019-06-05&tab=rank&order=DESC&type=DAY#rank
:return: 城市映射
:rtype: pandas.DataFrame"
air_quality_hebei,function,[],"河北省空气质量预报信息发布系统-空气质量预报, 未来 6 天
http://218.11.10.130:8080/#/application/home
:return: city = """", 返回所有地区的数据; city=""唐山市"", 返回唐山市的数据
:rtype: pandas.DataFrame"
air_quality_hist,function,"['city', 'period', 'start_date', 'end_date']","真气网-空气历史数据
https://www.zq12369.com/
:param city: 调用 ak.air_city_table() 接口获取所有城市列表
:type city: str
:param period: ""hour"": 每小时一个数据, 由于数据量比较大, 下载较慢; ""day"": 每天一个数据; ""month"": 每个月一个数据
:type period: str
:pa..."
air_quality_rank,function,['date'],"真气网-168 城市 AQI 排行榜
https://www.zq12369.com/environment.php?date=2020-03-12&tab=rank&order=DESC&type=DAY#rank
:param date: """": 当前时刻空气质量排名; ""20200312"": 当日空气质量排名; ""202003"": 当月空气质量排名; ""2019"": 当年空气质量排名;
:t..."
air_quality_watch_point,function,"['city', 'start_date', 'end_date']","真气网-监测点空气质量-细化到具体城市的每个监测点
指定之间段之间的空气质量数据
https://www.zq12369.com/
:param city: 调用 ak.air_city_table() 接口获取
:type city: str
:param start_date: e.g., ""20190327""
:type start_date: str
:param end_date: e...."
amac_aoin_info,function,[],"中国证券投资基金业协会-信息公示-基金产品公示-证券公司直投基金
https://gs.amac.org.cn/amac-infodisc/res/aoin/product/index.html
:return: 证券公司直投基金
:rtype: pandas.DataFrame"
amac_fund_abs,function,[],"中国证券投资基金业协会-信息公示-基金产品公示-资产支持专项计划公示信息
https://gs.amac.org.cn/amac-infodisc/res/fund/abs/index.html
:return: 资产支持专项计划公示信息
:rtype: pandas.DataFrame"
amac_fund_account_info,function,[],"中国证券投资基金业协会-信息公示-基金产品公示-基金公司及子公司集合资管产品公示
https://gs.amac.org.cn/amac-infodisc/res/fund/account/index.html
:return: 基金公司及子公司集合资管产品公示
:rtype: pandas.DataFrame"
amac_fund_info,function,"['start_page', 'end_page']","中国证券投资基金业协会-信息公示-基金产品-私募基金管理人基金产品
https://gs.amac.org.cn/amac-infodisc/res/pof/fund/index.html
:param start_page: 开始页码, 获取指定页码直接的数据
:type start_page: str
:param end_page: 结束页码, 获取指定页码直接的数据
:type end_p..."
amac_fund_sub_info,function,[],"中国证券投资基金业协会-信息公示-基金产品公示-证券公司私募投资基金
https://gs.amac.org.cn/amac-infodisc/res/pof/subfund/index.html
:return: 证券公司私募投资基金
:rtype: pandas.DataFrame"
amac_futures_info,function,[],"中国证券投资基金业协会-信息公示-基金产品公示-期货公司集合资管产品公示
https://gs.amac.org.cn/amac-infodisc/res/pof/futures/index.html
:return: 期货公司集合资管产品公示
:rtype: pandas.DataFrame"
amac_manager_cancelled_info,function,[],"中国证券投资基金业协会-信息公示-诚信信息公示-已注销私募基金管理人名单
https://gs.amac.org.cn/amac-infodisc/res/cancelled/manager/index.html
主动注销: 100
依公告注销: 200
协会注销: 300
:return: 已注销私募基金管理人名单
:rtype: pandas.DataFrame"
amac_manager_classify_info,function,[],"中国证券投资基金业协会-信息公示-私募基金管理人公示-私募基金管理人分类公示
https://gs.amac.org.cn/amac-infodisc/res/pof/manager/managerList.html
:return: 私募基金管理人分类公示
:rtype: pandas.DataFrame"
amac_manager_info,function,[],"中国证券投资基金业协会-信息公示-私募基金管理人公示-私募基金管理人综合查询
https://gs.amac.org.cn/amac-infodisc/res/pof/manager/index.html
:return: 私募基金管理人综合查询
:rtype: pandas.DataFrame"
amac_member_info,function,[],"中国证券投资基金业协会-信息公示-会员信息-会员机构综合查询
https://gs.amac.org.cn/amac-infodisc/res/pof/member/index.html
:return: 会员机构综合查询
:rtype: pandas.DataFrame"
amac_member_sub_info,function,[],"中国证券投资基金业协会-信息公示-私募基金管理人公示-证券公司私募基金子公司管理人信息公示
https://gs.amac.org.cn/amac-infodisc/res/pof/member/index.html?primaryInvestType=private
:return: 证券公司私募基金子公司管理人信息公示
:rtype: pandas.DataFrame"
amac_person_bond_org_list,function,[],"中国证券投资基金业协会-信息公示-从业人员信息-债券投资交易相关人员公示
https://human.amac.org.cn/web/org/personPublicity.html
:return: 债券投资交易相关人员公示
:rtype: pandas.DataFrame"
amac_person_fund_org_list,function,['symbol'],"中国证券投资基金业协会-信息公示-从业人员信息-基金从业人员资格注册信息
https://gs.amac.org.cn/amac-infodisc/res/pof/person/personOrgList.html
:param symbol: choice of {""公募基金管理公司"", ""公募基金管理公司资管子公司"", ""商业银行"", ""证券公司"", ""证券公司子公司"",
""私募基金管理人"",..."
amac_securities_info,function,[],"中国证券投资基金业协会-信息公示-基金产品公示-证券公司集合资管产品公示
https://gs.amac.org.cn/amac-infodisc/res/pof/securities/index.html
:return: 证券公司集合资管产品公示
:rtype: pandas.DataFrame"
article_epu_index,function,['symbol'],"经济政策不确定性指数
https://www.policyuncertainty.com/index.html
:param symbol: 指定的国家名称, e.g. “China”
:type symbol: str
:return: 经济政策不确定性指数数据
:rtype: pandas.DataFrame"
article_ff_crr,function,[],"FF多因子模型
https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html
:return: FF多因子模型单一表格
:rtype: pandas.DataFrame"
article_oman_rv,function,"['symbol', 'index']","Oxford-Man Institute of Quantitative Finance Realized Library 的数据
:param symbol: str ['AEX', 'AORD', 'BFX', 'BSESN', 'BVLG', 'BVSP', 'DJI', 'FCHI', 'FTMIB', 'FTSE', 'GDAXI', 'GSPTSE', 'HSI', 'IBEX', '..."
article_oman_rv_short,function,['symbol'],"Oxford-Man Institute of Quantitative Finance Realized Library 的数据
:param symbol: str FTSE: FTSE 100, GDAXI: DAX, RUT: Russel 2000, SPX: S&P 500 Index, STOXX50E: EURO STOXX 50, SSEC: Shanghai Composite..."
article_rlab_rv,function,['symbol'],"修大成主页-Risk Lab-Realized Volatility
:param symbol: str 股票代码
:return: pandas.DataFrame
1996-01-02    0.000000
1996-01-04    0.000000
1996-01-05    0.000000
1996-01-09    0.000000
1996-01-10    0.000000
..."
bank_fjcf_table_detail,function,"['page', 'item', 'begin']","获取 首页-政务信息-行政处罚-银保监分局本级-XXXX行政处罚信息公开表 数据
:param page: 需要获取前 page 页的内容, 总页数请通过 ak.bank_fjcf_total_page() 获取
:type page: int
:param item: choice of {""机关"", ""本级"", ""分局本级""}
:type item: str
:param begin: 开始页..."
bond_cash_summary_sse,function,['date'],"上登债券信息网-市场数据-市场统计-市场概览-债券现券市场概览
http://bond.sse.com.cn/data/statistics/overview/bondow/
:param date: 指定日期
:type date: str
:return: 债券成交概览
:rtype: pandas.DataFrame"
