接口名称,中文描述,类型,主要功能
stock_info_a_code_name,股票代码与名称对照表,股票相关,获取A股股票代码与对应公司名称的映射关系
stock_individual_info_em,个股基本信息,股票相关,获取单只股票的基本信息包括行业、市值、流通股等
stock_individual_fund_flow,个股资金流向,股票相关,获取个股实时资金流向数据包括主力、超大单、大单等
stock_zh_a_hist,A股历史行情,股票相关,获取A股个股历史K线数据包括开高低收量额
stock_zh_a_spot,A股实时行情,股票相关,获取A股个股实时行情快照数据
stock_zh_a_daily,A股日线数据,股票相关,获取A股个股日线历史行情数据
stock_zh_index_daily,指数日线数据,股票相关,获取各类股票指数的历史日线数据
stock_zh_index_spot,指数实时数据,股票相关,获取各类股票指数的实时行情数据
stock_board_industry_name_em,行业板块列表,股票相关,获取东方财富行业板块分类及包含股票列表
stock_board_concept_name_em,概念板块列表,股票相关,获取概念板块分类及包含股票列表
stock_board_industry_hist_em,行业板块历史,股票相关,获取行业板块历史行情数据
stock_financial_abstract,财务报表摘要,股票相关,获取上市公司财务报表核心指标摘要
stock_financial_analysis_indicator,财务分析指标,股票相关,获取上市公司财务分析指标如ROE、ROA等
stock_balance_sheet_by_report_em,资产负债表,股票相关,获取上市公司资产负债表详细数据
stock_profit_sheet_by_report_em,利润表,股票相关,获取上市公司利润表详细数据
stock_cash_flow_sheet_by_report_em,现金流量表,股票相关,获取上市公司现金流量表详细数据
stock_a_pe,A股市盈率,股票相关,获取A股市场整体或个股市盈率数据
stock_a_pb,A股市净率,股票相关,获取A股市场整体或个股市净率数据
stock_a_lg_indicator,A股估值指标,股票相关,获取A股市场整体估值指标如中位数PE、PB等
stock_individual_fund_flow_rank,个股资金排行,股票相关,获取个股资金流向排行榜
stock_market_fund_flow,市场资金流向,股票相关,获取整个A股市场的资金流向数据
stock_gdfx_free_top_10_em,前十大流通股东,股票相关,获取上市公司前十大流通股东持股数据
stock_gdfx_top_10_em,前十大股东,股票相关,获取上市公司前十大股东持股数据
stock_margin_detail_sse,融资融券明细,股票相关,获取上交所个股融资融券交易明细数据
stock_margin_sse,融资融券汇总,股票相关,获取上交所融资融券市场整体数据
